image_path,label,label_name
data\numerals\n_0\001_01.jpg,0,n_0
data\numerals\n_0\001_02.jpg,0,n_0
data\numerals\n_0\001_03.jpg,0,n_0
data\numerals\n_0\001_04.jpg,0,n_0
data\numerals\n_0\001_05.jpg,0,n_0
data\numerals\n_0\001_06.jpg,0,n_0
data\numerals\n_0\001_07.jpg,0,n_0
data\numerals\n_0\001_08.jpg,0,n_0
data\numerals\n_0\001_09.jpg,0,n_0
data\numerals\n_0\001_10.jpg,0,n_0
data\numerals\n_0\001_11.jpg,0,n_0
data\numerals\n_0\001_12.jpg,0,n_0
data\numerals\n_0\001_13.jpg,0,n_0
data\numerals\n_0\001_14.jpg,0,n_0
data\numerals\n_0\001_15.jpg,0,n_0
data\numerals\n_0\001_16.jpg,0,n_0
data\numerals\n_0\001_17.jpg,0,n_0
data\numerals\n_0\001_18.jpg,0,n_0
data\numerals\n_0\001_19.jpg,0,n_0
data\numerals\n_0\001_20.jpg,0,n_0
data\numerals\n_0\001_21.jpg,0,n_0
data\numerals\n_0\001_22.jpg,0,n_0
data\numerals\n_0\001_23.jpg,0,n_0
data\numerals\n_0\001_24.jpg,0,n_0
data\numerals\n_0\001_25.jpg,0,n_0
data\numerals\n_0\002_01.jpg,0,n_0
data\numerals\n_0\002_02.jpg,0,n_0
data\numerals\n_0\002_03.jpg,0,n_0
data\numerals\n_0\002_04.jpg,0,n_0
data\numerals\n_0\002_05.jpg,0,n_0
data\numerals\n_0\002_06.jpg,0,n_0
data\numerals\n_0\002_07.jpg,0,n_0
data\numerals\n_0\002_08.jpg,0,n_0
data\numerals\n_0\002_09.jpg,0,n_0
data\numerals\n_0\002_10.jpg,0,n_0
data\numerals\n_0\002_11.jpg,0,n_0
data\numerals\n_0\002_12.jpg,0,n_0
data\numerals\n_0\002_13.jpg,0,n_0
data\numerals\n_0\002_14.jpg,0,n_0
data\numerals\n_0\002_15.jpg,0,n_0
data\numerals\n_0\004_01.jpg,0,n_0
data\numerals\n_0\004_02.jpg,0,n_0
data\numerals\n_0\004_03.jpg,0,n_0
data\numerals\n_0\004_04.jpg,0,n_0
data\numerals\n_0\004_05.jpg,0,n_0
data\numerals\n_0\004_06.jpg,0,n_0
data\numerals\n_0\004_07.jpg,0,n_0
data\numerals\n_0\004_08.jpg,0,n_0
data\numerals\n_0\004_09.jpg,0,n_0
data\numerals\n_0\004_10.jpg,0,n_0
data\numerals\n_0\004_11.jpg,0,n_0
data\numerals\n_0\004_12.jpg,0,n_0
data\numerals\n_0\005_01.jpg,0,n_0
data\numerals\n_0\005_02.jpg,0,n_0
data\numerals\n_0\005_03.jpg,0,n_0
data\numerals\n_0\005_04.jpg,0,n_0
data\numerals\n_0\005_05.jpg,0,n_0
data\numerals\n_0\005_06.jpg,0,n_0
data\numerals\n_0\005_07.jpg,0,n_0
data\numerals\n_0\005_08.jpg,0,n_0
data\numerals\n_0\005_09.jpg,0,n_0
data\numerals\n_0\005_10.jpg,0,n_0
data\numerals\n_0\005_11.jpg,0,n_0
data\numerals\n_0\005_12.jpg,0,n_0
data\numerals\n_0\005_13.jpg,0,n_0
data\numerals\n_0\005_14.jpg,0,n_0
data\numerals\n_0\005_15.jpg,0,n_0
data\numerals\n_0\006_01.jpg,0,n_0
data\numerals\n_0\006_02.jpg,0,n_0
data\numerals\n_0\006_03.jpg,0,n_0
data\numerals\n_0\006_04.jpg,0,n_0
data\numerals\n_0\006_05.jpg,0,n_0
data\numerals\n_0\006_06.jpg,0,n_0
data\numerals\n_0\006_07.jpg,0,n_0
data\numerals\n_0\006_08.jpg,0,n_0
data\numerals\n_0\006_09.jpg,0,n_0
data\numerals\n_0\006_10.jpg,0,n_0
data\numerals\n_0\007_01.jpg,0,n_0
data\numerals\n_0\007_02.jpg,0,n_0
data\numerals\n_0\007_03.jpg,0,n_0
data\numerals\n_0\007_04.jpg,0,n_0
data\numerals\n_0\007_05.jpg,0,n_0
data\numerals\n_0\007_06.jpg,0,n_0
data\numerals\n_0\007_07.jpg,0,n_0
data\numerals\n_0\007_08.jpg,0,n_0
data\numerals\n_0\007_09.jpg,0,n_0
data\numerals\n_0\007_10.jpg,0,n_0
data\numerals\n_0\008_01.jpg,0,n_0
data\numerals\n_0\008_02.jpg,0,n_0
data\numerals\n_0\008_03.jpg,0,n_0
data\numerals\n_0\008_04.jpg,0,n_0
data\numerals\n_0\008_05.jpg,0,n_0
data\numerals\n_0\008_06.jpg,0,n_0
data\numerals\n_0\008_07.jpg,0,n_0
data\numerals\n_0\008_08.jpg,0,n_0
data\numerals\n_0\008_09.jpg,0,n_0
data\numerals\n_0\008_10.jpg,0,n_0
data\numerals\n_0\010_01.jpg,0,n_0
data\numerals\n_0\010_02.jpg,0,n_0
data\numerals\n_0\010_03.jpg,0,n_0
data\numerals\n_0\010_04.jpg,0,n_0
data\numerals\n_0\010_05.jpg,0,n_0
data\numerals\n_0\010_06.jpg,0,n_0
data\numerals\n_0\010_07.jpg,0,n_0
data\numerals\n_0\010_08.jpg,0,n_0
data\numerals\n_0\010_09.jpg,0,n_0
data\numerals\n_0\010_10.jpg,0,n_0
data\numerals\n_0\011_01.jpg,0,n_0
data\numerals\n_0\011_02.jpg,0,n_0
data\numerals\n_0\011_03.jpg,0,n_0
data\numerals\n_0\011_04.jpg,0,n_0
data\numerals\n_0\011_05.jpg,0,n_0
data\numerals\n_0\011_06.jpg,0,n_0
data\numerals\n_0\011_07.jpg,0,n_0
data\numerals\n_0\011_08.jpg,0,n_0
data\numerals\n_0\011_09.jpg,0,n_0
data\numerals\n_0\011_10.jpg,0,n_0
data\numerals\n_0\012_01.jpg,0,n_0
data\numerals\n_0\012_02.jpg,0,n_0
data\numerals\n_0\012_03.jpg,0,n_0
data\numerals\n_0\012_04.jpg,0,n_0
data\numerals\n_0\012_05.jpg,0,n_0
data\numerals\n_0\012_06.jpg,0,n_0
data\numerals\n_0\012_07.jpg,0,n_0
data\numerals\n_0\012_08.jpg,0,n_0
data\numerals\n_0\012_09.jpg,0,n_0
data\numerals\n_0\012_10.jpg,0,n_0
data\numerals\n_0\012_11.jpg,0,n_0
data\numerals\n_0\012_12.jpg,0,n_0
data\numerals\n_0\012_13.jpg,0,n_0
data\numerals\n_0\012_14.jpg,0,n_0
data\numerals\n_0\012_15.jpg,0,n_0
data\numerals\n_0\012_16.jpg,0,n_0
data\numerals\n_0\012_17.jpg,0,n_0
data\numerals\n_0\013_01.jpg,0,n_0
data\numerals\n_0\013_02.jpg,0,n_0
data\numerals\n_0\013_03.jpg,0,n_0
data\numerals\n_0\013_04.jpg,0,n_0
data\numerals\n_0\013_05.jpg,0,n_0
data\numerals\n_0\013_06.jpg,0,n_0
data\numerals\n_0\013_07.jpg,0,n_0
data\numerals\n_0\013_08.jpg,0,n_0
data\numerals\n_0\013_09.jpg,0,n_0
data\numerals\n_0\013_10.jpg,0,n_0
data\numerals\n_0\014_01.jpg,0,n_0
data\numerals\n_0\014_02.jpg,0,n_0
data\numerals\n_0\014_03.jpg,0,n_0
data\numerals\n_0\014_04.jpg,0,n_0
data\numerals\n_0\014_05.jpg,0,n_0
data\numerals\n_0\014_06.jpg,0,n_0
data\numerals\n_0\014_07.jpg,0,n_0
data\numerals\n_0\014_08.jpg,0,n_0
data\numerals\n_0\014_09.jpg,0,n_0
data\numerals\n_0\014_10.jpg,0,n_0
data\numerals\n_0\015_01.jpg,0,n_0
data\numerals\n_0\015_02.jpg,0,n_0
data\numerals\n_0\015_03.jpg,0,n_0
data\numerals\n_0\015_04.jpg,0,n_0
data\numerals\n_0\015_05.jpg,0,n_0
data\numerals\n_0\015_06.jpg,0,n_0
data\numerals\n_0\015_07.jpg,0,n_0
data\numerals\n_0\015_08.jpg,0,n_0
data\numerals\n_0\015_09.jpg,0,n_0
data\numerals\n_0\015_10.jpg,0,n_0
data\numerals\n_0\016_01.jpg,0,n_0
data\numerals\n_0\016_02.jpg,0,n_0
data\numerals\n_0\016_03.jpg,0,n_0
data\numerals\n_0\016_04.jpg,0,n_0
data\numerals\n_0\016_05.jpg,0,n_0
data\numerals\n_0\016_06.jpg,0,n_0
data\numerals\n_0\016_07.jpg,0,n_0
data\numerals\n_0\016_08.jpg,0,n_0
data\numerals\n_0\016_09.jpg,0,n_0
data\numerals\n_0\016_10.jpg,0,n_0
data\numerals\n_0\017_01.jpg,0,n_0
data\numerals\n_0\017_02.jpg,0,n_0
data\numerals\n_0\017_03.jpg,0,n_0
data\numerals\n_0\017_04.jpg,0,n_0
data\numerals\n_0\017_05.jpg,0,n_0
data\numerals\n_0\017_06.jpg,0,n_0
data\numerals\n_0\017_07.jpg,0,n_0
data\numerals\n_0\017_08.jpg,0,n_0
data\numerals\n_0\017_09.jpg,0,n_0
data\numerals\n_0\017_10.jpg,0,n_0
data\numerals\n_0\018_01.jpg,0,n_0
data\numerals\n_0\018_02.jpg,0,n_0
data\numerals\n_0\018_03.jpg,0,n_0
data\numerals\n_0\018_04.jpg,0,n_0
data\numerals\n_0\018_05.jpg,0,n_0
data\numerals\n_0\018_06.jpg,0,n_0
data\numerals\n_0\018_07.jpg,0,n_0
data\numerals\n_0\018_08.jpg,0,n_0
data\numerals\n_0\018_09.jpg,0,n_0
data\numerals\n_0\018_10.jpg,0,n_0
data\numerals\n_0\019_01.jpg,0,n_0
data\numerals\n_0\019_02.jpg,0,n_0
data\numerals\n_0\019_03.jpg,0,n_0
data\numerals\n_0\019_04.jpg,0,n_0
data\numerals\n_0\019_05.jpg,0,n_0
data\numerals\n_0\019_06.jpg,0,n_0
data\numerals\n_0\019_07.jpg,0,n_0
data\numerals\n_0\019_08.jpg,0,n_0
data\numerals\n_0\019_09.jpg,0,n_0
data\numerals\n_0\019_10.jpg,0,n_0
data\numerals\n_0\020_01.jpg,0,n_0
data\numerals\n_0\020_02.jpg,0,n_0
data\numerals\n_0\020_03.jpg,0,n_0
data\numerals\n_0\020_04.jpg,0,n_0
data\numerals\n_0\020_05.jpg,0,n_0
data\numerals\n_0\020_06.jpg,0,n_0
data\numerals\n_0\020_07.jpg,0,n_0
